id,account_id,user_id,feature,timestamp,count,duration
ue-northstar-0001,northstar,u-northstar-3,reports,2026-07-17T12:32:26.418864+00:00,8,30.57
ue-northstar-0002,northstar,u-northstar-1,dashboard,2026-07-14T14:59:35.574659+00:00,11,28.67
ue-northstar-0003,northstar,u-northstar-3,dashboard,2026-07-16T20:27:22.087222+00:00,4,7.06
ue-northstar-0004,northstar,u-northstar-1,reports,2026-07-19T02:56:28.687440+00:00,11,26.12
ue-northstar-0005,northstar,u-northstar-4,dashboard,2026-07-13T04:53:38.690737+00:00,11,31.1
ue-northstar-0006,northstar,u-northstar-4,dashboard,2026-07-11T23:56:32.193767+00:00,12,23.55
ue-northstar-0007,northstar,u-northstar-1,reports,2026-07-09T19:17:48.236630+00:00,8,30.21
ue-northstar-0008,northstar,u-northstar-4,exports,2026-06-19T15:20:32.407785+00:00,12,40.19
ue-northstar-0009,northstar,u-northstar-2,exports,2026-07-01T12:01:46.045385+00:00,8,20.53
ue-northstar-0010,northstar,u-northstar-5,reports,2026-06-24T13:23:40.673202+00:00,4,12.72
ue-northstar-0011,northstar,u-northstar-3,dashboard,2026-07-09T04:16:18.677377+00:00,9,4.09
ue-northstar-0012,northstar,u-northstar-2,exports,2026-07-07T11:49:17.328730+00:00,2,18.96
ue-northstar-0013,northstar,u-northstar-1,dashboard,2026-07-03T15:22:33.278730+00:00,7,17.83
ue-northstar-0014,northstar,u-northstar-5,dashboard,2026-06-24T02:34:47.025341+00:00,1,42.45
ue-northstar-0015,northstar,u-northstar-4,reports,2026-07-04T09:10:21.678165+00:00,12,24.8
ue-northstar-0016,northstar,u-northstar-2,dashboard,2026-06-28T05:01:02.977254+00:00,8,1.79
ue-northstar-0017,northstar,u-northstar-4,exports,2026-07-03T05:18:51.030543+00:00,8,41.42
ue-northstar-0018,northstar,u-northstar-4,reports,2026-06-19T21:16:22.518619+00:00,11,1.71
ue-northstar-0019,northstar,u-northstar-4,core_workflow,2026-06-27T11:42:39.513281+00:00,5,17.37
